tot_parg,damp_floor,animals,stove,ventilation,light,cowdung,water,asset_index,house_type
39,1,0,0,1,0,1,0,2,upbrick
40,1,0,0,0,1,1,0,,thatched
40,1,0,0,0,0,1,0,3,thatched
40,1,0,1,1,1,1,0,1,thatched
41,1,0,0,0,0,1,0,1,thatched
41,1,0,1,1,1,1,0,2,thatched
41,1,0,0,0,1,1,0,1,thatched
42,1,0,0,1,1,1,0,3,upbrick
42,1,0,0,0,0,1,0,2,pbrick_efloor
43,1,0,0,0,1,1,0,1,upbrick
43,0,0,0,1,1,1,0,4,pbrick_cfloor
43,1,0,0,1,0,1,0,4,upbrick
43,1,0,0,1,1,1,0,5,thatched
43,1,0,0,0,0,1,0,1,thatched
43,1,1,0,1,0,1,1,2,pbrick_efloor
44,1,0,0,0,0,1,0,5,thatched
44,1,0,0,1,0,1,0,3,thatched
44,1,0,0,0,0,1,0,4,thatched
44,1,0,0,0,1,1,0,4,upbrick
44,1,0,0,0,0,1,0,5,pbrick_efloor
45,1,0,0,0,0,1,0,2,thatched
46,1,0,0,0,1,1,0,4,upbrick
46,1,0,0,1,0,1,0,4,upbrick
47,1,0,0,1,0,1,0,2,upbrick
48,1,0,0,1,0,1,0,1,upbrick
49,1,0,0,0,0,1,0,3,upbrick
49,1,0,0,0,0,1,0,,thatched
49,1,0,0,0,0,1,0,2,thatched
49,1,0,0,0,0,1,0,3,upbrick
49,1,0,0,1,0,1,0,2,upbrick
50,1,0,0,0,0,1,0,3,thatched
50,1,0,0,1,0,1,0,2,upbrick
50,1,1,0,0,0,1,0,1,thatched
50,0,0,0,1,1,1,0,4,pbrick_cfloor
50,1,0,0,1,1,1,1,5,upbrick
51,1,0,0,0,0,1,0,1,thatched
51,1,0,0,0,0,1,0,3,thatched
51,1,0,0,1,0,1,0,1,upbrick
51,1,0,0,1,1,1,1,4,upbrick
52,1,0,0,0,0,1,0,2,thatched
52,1,0,0,1,0,1,0,1,pbrick_efloor
52,1,0,0,0,0,1,0,3,thatched
52,1,0,0,1,0,1,0,5,upbrick
53,1,0,0,0,1,1,0,3,thatched
53,1,0,0,1,1,1,0,1,upbrick
53,1,1,0,1,1,1,0,4,pbrick_efloor
53,1,0,0,0,0,1,0,1,thatched
54,1,0,1,1,0,1,1,2,upbrick
54,1,0,1,0,0,1,0,1,thatched
55,1,0,0,0,0,1,0,3,thatched
55,1,0,0,0,0,1,0,1,thatched
55,1,0,0,1,1,1,0,5,pbrick_efloor
55,0,0,0,0,0,1,0,1,pbrick_cfloor
56,1,0,0,1,1,1,0,4,upbrick
57,1,0,0,0,0,1,0,4,thatched
57,1,0,0,1,1,1,1,5,pbrick_efloor
57,1,0,0,0,1,1,1,4,pbrick_efloor
59,1,0,0,1,1,1,1,5,pbrick_efloor
59,1,0,0,0,0,1,0,2,thatched
59,1,0,0,1,1,1,1,5,pbrick_efloor
59,1,1,0,0,0,1,0,1,thatched
60,0,0,0,0,1,1,0,3,pbrick_cfloor
61,0,0,0,0,1,1,0,5,pbrick_cfloor
61,1,0,0,0,0,1,0,4,upbrick
62,1,0,0,1,1,1,0,5,pbrick_efloor
63,1,0,0,0,0,1,0,2,upbrick
63,1,1,0,0,0,1,1,4,thatched
63,1,0,0,0,1,1,0,3,thatched
63,1,0,0,0,0,1,0,4,upbrick
64,1,0,0,1,0,1,0,5,upbrick
65,0,0,0,0,0,1,0,5,pbrick_cfloor
66,1,0,0,0,0,1,0,,thatched
66,1,0,0,0,1,1,0,1,thatched
67,1,0,0,0,0,1,0,2,thatched
67,1,0,0,1,0,1,0,4,pbrick_efloor
68,1,0,0,1,0,1,0,1,upbrick
68,1,0,0,1,0,1,0,,upbrick
68,1,0,0,0,0,1,1,1,thatched
68,1,0,0,0,0,1,0,2,upbrick
69,1,0,0,0,1,1,0,2,thatched
70,1,0,0,1,1,1,0,4,upbrick
71,1,0,0,1,0,1,0,1,pbrick_efloor
71,1,0,0,0,0,1,0,4,upbrick
71,1,0,0,0,0,1,0,1,thatched
71,1,1,0,0,0,1,0,2,upbrick
72,1,1,0,1,1,1,1,4,thatched
73,1,0,0,0,1,1,0,2,pbrick_efloor
73,1,0,0,0,0,1,1,3,thatched
74,1,0,0,0,0,1,0,4,thatched
74,1,0,0,0,0,1,0,4,upbrick
75,1,0,0,0,0,1,0,3,thatched
75,0,0,0,0,1,1,1,1,pbrick_cfloor
76,0,1,1,0,1,1,1,2,thatched
76,1,0,0,1,1,1,0,2,upbrick
76,1,0,0,1,0,1,0,1,thatched
77,1,0,0,1,1,1,0,1,thatched
78,1,0,0,0,0,1,0,3,pbrick_efloor
78,1,0,0,0,0,1,0,1,thatched
78,1,0,0,0,0,1,0,4,thatched
79,1,0,0,0,0,1,0,4,thatched
80,1,0,0,0,0,1,0,1,thatched
80,1,0,0,0,0,1,0,4,thatched
82,1,0,0,1,1,1,0,3,thatched
84,0,0,0,0,0,1,0,5,pbrick_cfloor
84,0,0,0,0,0,1,0,5,pbrick_cfloor
85,1,0,0,0,0,1,0,1,upbrick
85,1,0,0,0,0,1,0,2,thatched
85,1,0,1,0,0,1,1,2,upbrick
86,1,0,0,1,1,1,1,1,thatched
86,1,1,0,0,0,1,0,4,thatched
86,1,0,0,0,0,1,0,1,thatched
87,1,0,0,0,0,1,0,3,thatched
90,1,0,0,0,0,1,0,1,thatched
90,1,0,0,0,0,1,0,2,upbrick
91,1,0,0,0,0,1,0,4,thatched
93,1,0,0,0,0,1,0,2,upbrick
93,1,0,0,1,0,1,0,3,pbrick_efloor
93,1,0,0,0,1,1,0,2,thatched
98,1,0,0,0,0,1,1,1,thatched
99,1,0,0,0,1,1,0,4,upbrick
101,1,0,0,0,0,1,0,1,upbrick
103,1,1,0,1,1,1,0,2,thatched
103,1,0,0,0,0,1,0,,thatched
104,1,0,0,0,0,1,0,3,thatched
106,1,0,0,0,1,1,0,1,thatched
111,1,0,0,0,0,1,0,1,thatched
111,1,0,0,0,0,1,0,1,pbrick_efloor
112,1,1,0,0,1,1,0,3,thatched
113,1,0,0,1,1,1,0,4,upbrick
121,1,0,0,0,0,1,0,1,thatched
124,1,0,0,0,0,1,1,4,upbrick
125,1,0,0,0,0,1,0,3,pbrick_efloor
125,1,0,0,0,1,1,1,4,pbrick_efloor
128,1,0,0,0,0,1,1,1,thatched
132,1,0,0,0,0,1,1,1,upbrick
135,1,0,0,0,1,1,0,2,upbrick
144,1,0,0,0,1,1,0,1,thatched
145,1,0,1,0,0,1,0,2,thatched
146,1,0,0,0,0,1,0,4,thatched
146,1,0,0,0,0,1,0,1,upbrick
148,1,1,0,0,1,1,1,5,pbrick_efloor
152,1,0,0,1,1,1,1,3,upbrick
170,0,0,0,0,1,1,0,4,pbrick_cfloor
173,1,0,0,0,1,1,1,1,thatched
177,1,0,0,0,0,1,1,3,pbrick_efloor
179,1,0,0,0,0,1,0,1,thatched
188,1,0,0,0,0,1,0,4,thatched
195,1,1,0,1,1,1,0,2,upbrick
206,1,1,0,0,0,1,0,2,thatched
209,1,0,1,1,1,1,0,3,thatched
211,1,0,0,0,0,1,1,1,thatched
213,1,0,0,0,0,1,1,4,upbrick
213,1,0,0,0,0,1,0,1,pbrick_efloor
232,1,0,0,0,0,1,0,3,thatched
243,0,0,0,1,0,0,1,5,pbrick_cfloor
246,1,0,0,0,0,1,0,1,thatched
257,1,0,0,1,0,1,0,1,pbrick_efloor
288,1,0,1,0,0,1,0,1,thatched
292,1,0,0,0,0,1,0,2,thatched
305,1,0,0,0,1,1,0,3,thatched
310,1,0,0,1,1,1,0,4,pbrick_efloor
335,1,0,0,0,0,1,1,5,thatched
342,0,0,0,1,1,1,1,5,pbrick_cfloor
370,1,1,0,0,0,1,0,1,thatched
404,1,0,0,0,1,1,1,,upbrick
413,1,0,0,1,1,1,0,5,upbrick
440,0,0,0,1,1,1,0,,pbrick_cfloor
589,1,0,0,0,0,1,0,,thatched
681,1,0,0,0,0,1,0,2,thatched
