idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
22501,2,3,1,1,2,3,2,3,40,2,2,2,1,1,1
22603,1,0,1,1,1,1,.8,1,17,1,1,1,1,1,0
22702,1,0,3,1,1,1,.6,1,44,2,2,2,1,1,1
22901,1,0,3,1,1,1,.5,1,56,3,2,2,1,1,1
22902,2,0,3,1,1,1,.5,1,54,3,2,2,1,2,1
24001,1,0,3,0,1,1,.5,1,69,3,3,3,1,1,0
24202,2,2,2,0,2,2,1.3,2,26,1,2,2,2,1,0
24202,2,2,3,1,2,2,1.3,2,52,3,2,2,1,2,1
24301,1,2,2,0,2,2,1,2,31,2,2,2,2,1,0
24302,2,2,2,0,2,2,1,2,31,2,2,2,2,1,0
24401,1,,3,1,,,1.7,2,55,3,2,2,1,1,1
24601,1,1,2,1,2,2,4,3,39,2,2,2,1,1,0
24602,2,1,2,1,2,2,4,3,22,1,2,2,1,3,1
24703,1,0,2,0,1,1,.8,1,20,1,1,1,1,1,0
24703,2,0,3,0,1,1,1.7,2,21,1,1,1,2,1,0
25201,2,2,1,1,2,2,1.5,2,41,2,2,2,2,2,1
25302,2,3,1,1,2,3,.7,1,22,1,2,2,1,2,1
25403,2,0,3,0,1,1,3,3,17,1,1,1,1,1,1
25502,2,2,3,1,2,2,1,2,34,2,2,2,1,2,1
25602,2,1,1,1,2,2,1,2,25,1,2,2,2,2,1
25702,2,1,3,1,2,2,.8,1,31,2,2,2,1,1,1
25905,1,0,1,1,1,1,3,3,21,1,1,1,1,1,0
26002,2,1,1,1,2,2,.1,1,28,1,2,2,1,1,1
26201,1,3,1,1,2,3,1.4,2,42,2,2,2,1,1,1
26204,1,0,1,0,1,1,1.4,2,15,1,1,1,1,1,1
26601,2,0,1,1,1,1,1,2,23,1,2,2,2,1,1
26803,1,0,3,0,1,1,1.5,2,15,1,1,1,1,1,0
27001,1,0,3,0,1,1,1,2,65,3,2,2,1,1,0
27202,2,2,1,1,2,2,1.5,2,44,2,2,2,1,2,1
27501,2,1,1,1,2,2,1.5,2,26,1,2,2,1,2,0
87501,2,0,3,1,1,1,1,2,35,2,1,1,2,1,1
28103,2,0,2,0,1,1,3,3,18,1,1,1,1,1,0
28104,2,0,2,0,1,1,3,3,18,1,1,1,1,1,1
28301,1,1,1,1,2,2,3,3,33,2,2,2,1,1,1
28302,2,1,1,1,2,2,3,3,28,1,2,2,1,1,0
28302,2,3,2,1,2,3,4,3,40,2,2,2,1,1,1
28302,2,0,3,1,1,1,1,2,64,3,1,1,2,1,0
28304,2,0,2,0,1,1,4,3,16,1,1,1,1,3,0
28401,1,3,2,1,2,3,2,3,42,2,2,2,1,1,0
28403,2,3,2,1,2,3,2,3,17,1,2,2,1,2,0
28702,2,5,2,1,2,3,2,3,39,2,2,2,1,1,1
28801,1,0,3,1,1,1,.3,1,39,2,3,4,2,1,0
29001,2,0,3,1,1,1,1,2,25,1,1,1,2,1,0
29002,2,0,3,1,1,1,1,2,23,1,1,1,2,1,1
29101,1,3,1,1,2,3,.8,1,42,2,2,2,2,1,1
29102,2,0,3,1,1,1,.7,1,27,1,2,2,2,1,0
29302,2,0,1,1,1,1,.8,1,45,3,2,2,2,2,1
29502,2,4,2,0,2,3,6,3,32,2,2,2,1,2,0
29902,2,3,1,1,2,3,1,2,35,2,2,2,1,2,1
30001,1,2,3,0,2,2,1.3,2,29,1,2,2,2,1,1
30102,2,1,1,1,2,2,.8,1,51,3,2,2,1,2,1
30201,2,1,1,1,2,2,1,2,45,3,2,2,1,1,1
30401,2,0,1,1,1,1,1.7,2,44,2,2,2,1,2,1
30902,1,0,1,1,1,1,3,3,44,2,2,2,1,1,0
31302,2,0,1,1,1,1,2.5,3,69,3,1,1,1,2,0
31401,2,0,3,0,1,1,1,2,27,1,1,1,2,1,1
31502,2,1,1,1,2,2,1,2,22,1,2,2,1,1,0
31802,2,0,1,1,1,1,.7,1,49,3,2,2,1,1,1
32102,2,3,1,1,2,3,2.5,3,27,1,2,2,1,2,1
32303,2,1,3,0,2,2,1.3,2,45,3,2,2,2,1,0
32402,2,0,1,1,1,1,2,3,67,3,2,2,1,2,0
32702,2,4,2,1,2,3,2,3,45,3,2,2,1,3,1
32801,1,1,2,1,2,2,1.5,2,29,1,2,2,1,1,0
